arm,rho,delta,seed,n,learned_mcc,learned_mcc_spearman,learned_cca,learned_mcc_band,n_band,oracle_sigma,oracle_mcc,oracle_mcc_spearman,oracle_cca,gap_mcc,gap_mcc_spearman,kl_total,kl_min,active_units,recon_nats,posterior_collapse,deterministic_ae
ivae_5env,1.0,0.0,0,2000,0.909321574114125,0.9245813183953262,0.961176549116245,0.909321574114125,4000,0.289306640625,0.9611194485176108,0.9611678957919704,0.9611195736311132,0.0517978744034858,0.036586577396644,6.038243770599365,2.792964458465576,2,1366.7232666015625,False,False
ivae_5env,1.0,0.0,1,2000,0.8466753005928134,0.8473720645930128,0.9935359085684368,0.8466753005928134,4000,0.114501953125,0.9935402662508248,0.9933793763448404,0.9935350362216114,0.1468649656580113,0.1460073117518276,6.09687089920044,2.959983587265014,2,1365.2669677734375,False,False
ivae_5env,1.0,0.0,2,2000,0.8782441242671635,0.8809800402450068,0.994003914764339,0.8782441242671635,4000,0.110107421875,0.9940038488207534,0.993805791201444,0.9940076812731616,0.1157597245535899,0.1128257509564373,6.116307735443115,2.9902193546295166,2,1363.9874267578125,False,False
ivae_5env,1.0,0.0,3,2000,0.9606504604194648,0.9640060945015202,0.9937010680369184,0.9606504604194648,4000,0.114990234375,0.993707001430152,0.993541686885418,0.9937064971579312,0.0330565410106873,0.0295355923838979,5.951949119567871,2.8614001274108887,2,1365.72314453125,False,False
ivae_5env,1.0,0.0,4,2000,0.928229635062179,0.9318412737103152,0.9936763695420484,0.928229635062179,4000,0.111572265625,0.9936795810682876,0.9934645846161424,0.9936760440026816,0.0654499460061086,0.0616233109058274,6.027767658233643,2.924962520599365,2,1365.191650390625,False,False
ivae_5env,1.0,2.0,0,2000,0.4644716898752212,0.4841271077817752,0.4695858712064212,0.4644716898752212,4000,1.930419921875,0.4694363922107374,0.4610123502530859,0.4695871580438759,0.0049647023355162,-0.0231147575286892,6.552806854248047,3.1420910358428955,2,1049.7054443359375,False,False
ivae_5env,1.0,2.0,1,2000,0.6487524253778019,0.6617798614449628,0.6797221010785981,0.6487524253778019,4000,1.098388671875,0.6800754479982107,0.6791349077837243,0.6797199684821997,0.0313230226204088,0.0173550463387615,6.747604370117188,3.106534957885742,2,1048.87451171875,False,False
ivae_5env,1.0,2.0,2,2000,0.4479318987535992,0.451325782831444,0.5143554589343856,0.4479318987535992,4000,1.679443359375,0.5142973883620867,0.5084389683597405,0.5143890778612126,0.0663654896084874,0.0571131855282964,6.576763153076172,2.795740127563477,2,1047.7977294921875,False,False
ivae_5env,1.0,2.0,3,2000,0.4395068182510491,0.4712390895597707,0.4576760951689901,0.4395068182510491,4000,2.073974609375,0.4577114107172367,0.4500728730182165,0.4576915844884862,0.0182045924661876,-0.0211662165415541,6.608811378479004,3.13016676902771,2,1047.9847412109375,False,False
ivae_5env,1.0,2.0,4,2000,0.437744587064824,0.4833446175861525,0.4470137761129088,0.437744587064824,4000,2.046630859375,0.4473173804735055,0.4358418204604534,0.4469790425952061,0.0095727934086815,-0.0475027971256991,6.661462783813477,3.26637864112854,2,1048.3714599609375,False,False
ivae_5env,0.8,0.0,0,2000,0.985021835061281,0.9918326352081552,0.9897030498007644,0.9877446880044471,3172,0.144775390625,0.989683108291112,0.989484314871075,0.9896800507032476,0.0046612732298308,-0.0023483203370802,5.941322326660156,2.814412832260132,2,1365.8544921875,False,False
ivae_5env,0.8,0.0,1,2000,0.886093862464013,0.8914355288588792,0.9928109767675126,0.8753515395618757,3230,0.121826171875,0.9928070923670996,0.992542910135724,0.9927957375704244,0.1067132299030865,0.1011073812768447,6.075187683105469,2.930133819580078,2,1366.24609375,False,False
ivae_5env,0.8,0.0,2,2000,0.8763998288443529,0.8791455105363746,0.9945295391136514,0.8615116469594383,3183,0.104736328125,0.9945071646017356,0.9944586048646477,0.994513182018084,0.1181073357573828,0.1153130943282729,6.123091697692871,2.978655338287353,2,1365.2750244140625,False,False
ivae_5env,0.8,0.0,3,2000,0.9793513253916778,0.9804082363520557,0.9937629547585248,0.9738745858746044,3171,0.114013671875,0.9937813512398256,0.9936667291666784,0.9937821762518476,0.0144300258481476,0.0132584928146227,6.037151336669922,2.883376359939575,2,1367.2706298828125,False,False
ivae_5env,0.8,0.0,4,2000,0.9497508480983846,0.9558780919695196,0.9916386971859392,0.9377534130382468,3178,0.129150390625,0.9916539791396636,0.9914168966042204,0.9916424137859108,0.0419031310412788,0.0355388046347009,6.012927055358887,2.884169101715088,2,1364.27001953125,False,False
ivae_5env,0.8,2.0,0,2000,0.6200296222669357,0.6097192621798133,0.640032979988698,0.5847732739629686,3172,1.194091796875,0.6400848548296878,0.6346682486670598,0.6400504703075506,0.0200552325627521,0.0249489864872465,6.70149040222168,3.328067779541016,2,1045.955078125,False,False
ivae_5env,0.8,2.0,1,2000,0.4066907648255656,0.4318920832230192,0.4828705265347608,0.3126595600185827,3230,1.893310546875,0.4833528660652811,0.4780120787530179,0.4829059341246139,0.0766621012397155,0.0461199955299986,6.585103988647461,3.1258203983306885,2,1043.7506103515625,False,False
ivae_5env,0.8,2.0,2,2000,0.5628260224263855,0.5769056184764025,0.6829433915830784,0.5538579329690629,3183,1.064208984375,0.6829653770520688,0.6807792066947993,0.6829316173138734,0.1201393546256833,0.1038735882183967,6.780282020568848,3.155609607696533,2,1042.289794921875,False,False
ivae_5env,0.8,2.0,3,2000,0.461357203816654,0.4595234041308494,0.4962535201619549,0.4486915403974041,3171,1.835693359375,0.4967564055505241,0.4903407490851856,0.4962898453613411,0.03539920173387,0.0308173449543361,6.53975772857666,2.9451358318328857,2,1043.682373046875,False,False
ivae_5env,0.8,2.0,4,2000,0.4488855119143344,0.4785022661255647,0.4545056285912331,0.4247569884090209,3178,1.976806640625,0.4550086718071687,0.4439599957399973,0.4544993479189451,0.0061231598928343,-0.0345422703855673,6.613539695739746,3.246384382247925,2,1041.0908203125,False,False
ivae_5env,0.6,0.0,0,2000,0.980337040252904,0.9913435000858716,0.9806169208455318,0.980134592030488,2400,0.200439453125,0.9806320710291884,0.9803974768493654,0.9806298159749888,0.0002950307762845,-0.010946023236506,5.982760429382324,2.767855167388916,2,1366.2620849609375,False,False
ivae_5env,0.6,0.0,1,2000,0.8229031866264076,0.8244075508518847,0.9938092155365296,0.7725831059937429,2427,0.112548828125,0.9938206489670678,0.993651366162838,0.9938022033290967,0.1709174623406602,0.1692438153109532,6.096977233886719,2.963250160217285,2,1366.6981201171875,False,False
ivae_5env,0.6,0.0,2,2000,0.9912926365275244,0.9957439086859734,0.9913152708357869,0.995147252000844,2401,0.132080078125,0.9913050011556754,0.9913690368422556,0.9913179810577162,1.2364628150907109e-05,-0.0043748718437176,6.026371955871582,2.9005579948425293,2,1365.5384521484375,False,False
ivae_5env,0.6,0.0,3,2000,0.9899831900009176,0.9919253284813284,0.9904899032498352,0.9912905145438414,2385,0.142333984375,0.990475794621614,0.9902745360686304,0.9904599805846632,0.0004926046206965,-0.001650792412698,5.97227144241333,2.8712470531463623,2,1367.888916015625,False,False
ivae_5env,0.6,0.0,4,2000,0.928523236088618,0.9317539009384715,0.9926481458708424,0.8656190523690405,2387,0.121337890625,0.9926383152633363,0.9924604003650964,0.9926241200348132,0.0641150791747183,0.0607064994266246,6.022592544555664,2.9361417293548584,2,1364.919921875,False,False
ivae_5env,0.6,2.0,0,2000,0.471302876672428,0.4660009622502389,0.6379337327805101,0.3875837080634544,2400,1.204345703125,0.6379361324209747,0.6326717624179383,0.637983421636468,0.1666332557485467,0.1666708001676994,6.289642333984375,2.916656017303467,2,1037.5308837890625,False,False
ivae_5env,0.6,2.0,1,2000,0.3993755442435133,0.4079949952487473,0.5166504514945434,0.2218367746523686,2427,1.744384765625,0.5173456522786598,0.5137697911924459,0.5166391797010452,0.1179701080351464,0.1057747959436986,6.58624267578125,3.052417278289795,2,1039.6593017578125,False,False
ivae_5env,0.6,2.0,2,2000,0.8713972084534454,0.8851207942801955,0.8726187734020332,0.647417072185981,2401,0.557373046875,0.8726678237117349,0.874095800523947,0.8725396653107946,0.0012706152582895,-0.0110249937562485,6.37615966796875,2.6996164321899414,2,1036.9871826171875,False,False
ivae_5env,0.6,2.0,3,2000,0.3670937738386608,0.3704626541156621,0.5232070733427356,0.3398888861876068,2385,1.737548828125,0.5237517827306275,0.5162940645735143,0.5232130774914506,0.1566580088919666,0.1458314104578522,6.473635673522949,2.897234916687012,2,1038.3914794921875,False,False
