lam,rho,seed,mcc,domain_balacc,batch_removed,removed_minus_rho
0.0,1.0,0,0.7523727894863497,0.4935,1.0,0.0
0.0,1.0,1,0.9557296900406747,0.503,0.994,-0.006000000000000005
0.0,1.0,2,0.9914217634906253,0.48975,1.0,0.0
0.0,0.8,0,0.8326058786218812,0.58725,0.8254999999999999,0.025499999999999856
0.0,0.8,1,0.9778078558494334,0.5935,0.813,0.0129999999999999
0.0,0.8,2,0.9367130227603442,0.5925,0.815,0.014999999999999902
0.0,0.6,0,0.7135414539156006,0.6945,0.611,0.01100000000000001
0.0,0.6,1,0.937284296336239,0.69075,0.6185,0.018500000000000072
0.0,0.6,2,0.7832950839040809,0.70025,0.5994999999999999,-0.000500000000000056
0.0,0.4,0,0.76846716437581,0.80125,0.39749999999999996,-0.0025000000000000577
0.0,0.4,1,0.9789611045131423,0.7925,0.41500000000000004,0.015000000000000013
0.0,0.4,2,0.915288137420621,0.78775,0.4245000000000001,0.024500000000000077
0.0,0.2,0,0.7134992170849607,0.8947499999999999,0.21050000000000013,0.01050000000000012
0.0,0.2,1,0.9880175494190844,0.8967499999999999,0.20650000000000013,0.006500000000000117
0.0,0.2,2,0.754461864974026,0.8965000000000001,0.20699999999999985,0.00699999999999984
0.0,0.05,0,0.8501000657517588,0.96875,0.0625,0.012499999999999997
0.0,0.05,1,0.9877227839592759,0.96875,0.0625,0.012499999999999997
0.0,0.05,2,0.746003609148681,0.969,0.062000000000000055,0.012000000000000052
200.0,1.0,0,0.9943206963113802,0.492,1.0,0.0
200.0,1.0,1,0.8370240814538752,0.5,1.0,0.0
200.0,1.0,2,0.9229794539231506,0.50425,0.9915,-0.008499999999999952
200.0,0.8,0,0.9079940072574288,0.5882499999999999,0.8235000000000001,0.023500000000000076
200.0,0.8,1,0.9653702776705739,0.59075,0.8185,0.01849999999999996
200.0,0.8,2,0.6807027430978898,0.5902499999999999,0.8195000000000001,0.019500000000000073
200.0,0.6,0,0.5671130386787968,0.694,0.6120000000000001,0.012000000000000122
200.0,0.6,1,0.5898130635317101,0.70625,0.5874999999999999,-0.012500000000000067
200.0,0.6,2,0.6222473002404016,0.7124999999999999,0.5750000000000002,-0.0249999999999998
200.0,0.4,0,0.6497378816310335,0.8005,0.399,-0.0010000000000000009
200.0,0.4,1,0.7588395672111936,0.79475,0.4105000000000001,0.010500000000000065
200.0,0.4,2,0.536375075761158,0.794,0.4119999999999999,0.0119999999999999
200.0,0.2,0,0.7672557172566234,0.8899999999999999,0.2200000000000002,0.020000000000000184
200.0,0.2,1,0.7111263996638251,0.90175,0.1964999999999999,-0.003500000000000114
200.0,0.2,2,0.9156754958391451,0.8935,0.21300000000000008,0.013000000000000067
200.0,0.05,0,0.9375307392489824,0.9764999999999999,0.04700000000000015,-0.00299999999999985
200.0,0.05,1,0.5506258754589712,0.96675,0.0665,0.0165
200.0,0.05,2,0.6958545301872493,0.968,0.06400000000000006,0.014000000000000054
1000.0,1.0,0,0.9820464672639925,0.5065,0.9870000000000001,-0.0129999999999999
1000.0,1.0,1,0.7125830430161066,0.5,1.0,0.0
1000.0,1.0,2,0.9794904889510272,0.49575,1.0,0.0
1000.0,0.8,0,0.5720445997313026,0.5885,0.823,0.02299999999999991
1000.0,0.8,1,0.6913996509871482,0.59875,0.8025,0.0024999999999999467
1000.0,0.8,2,0.7003687183445406,0.5925,0.815,0.014999999999999902
1000.0,0.6,0,0.5396535575713427,0.68625,0.6275,0.02749999999999997
1000.0,0.6,1,0.5683943968470146,0.69275,0.6145,0.014500000000000068
1000.0,0.6,2,0.7292583075388646,0.6950000000000001,0.6099999999999999,0.009999999999999898
1000.0,0.4,0,0.3724561426837742,0.79425,0.4115,0.011499999999999955
1000.0,0.4,1,0.6352869083788499,0.792,0.4159999999999999,0.015999999999999903
1000.0,0.4,2,0.5773070957513814,0.7967500000000001,0.40649999999999986,0.006499999999999839
1000.0,0.2,0,0.623617909931908,0.893,0.21399999999999997,0.013999999999999957
1000.0,0.2,1,0.7061226285315276,0.85225,0.2955000000000001,0.09550000000000008
1000.0,0.2,2,0.6006471173880931,0.801,0.3979999999999999,0.1979999999999999
1000.0,0.05,0,0.5282081996667216,0.867,0.266,0.21600000000000003
1000.0,0.05,1,0.9614932823570702,0.973,0.05400000000000005,0.004000000000000045
1000.0,0.05,2,0.5261957174991736,0.8907499999999999,0.21850000000000014,0.16850000000000015
