arm,rho,delta,seed,n,learned_mcc,learned_mcc_spearman,learned_cca,learned_mcc_band,n_band,oracle_sigma,oracle_mcc,oracle_mcc_spearman,oracle_cca,gap_mcc,gap_mcc_spearman,kl_total,kl_min,active_units,recon_nats,posterior_collapse,deterministic_ae
conditional,0.05,0.0,0,2000,0.8501000657517588,0.8522149868037436,0.9936464028752277,,193,0.113037109375,0.9936689596477186,0.9935107133776746,0.9936677194765972,0.1435688938959598,0.1412957265739309,6.283603668212891,3.115899085998535,2,1366.61083984375,False,False
conditional,0.05,0.0,1,2000,0.987722783959276,0.9916326761581656,0.9898058230437424,0.6975381230753053,209,0.144287109375,0.9898431838196776,0.9897571131892744,0.9898316776250008,0.0021203998604016,-0.0018755629688911,6.334110260009766,3.120911836624145,2,1367.720703125,False,False
conditional,0.05,0.0,2,2000,0.746003609148681,0.7383055403263823,0.9929986509941776,,193,0.118408203125,0.9930119130443632,0.992899886974968,0.993013050511107,0.247008303895682,0.2545943466485858,6.272906303405762,3.107817411422729,2,1365.13427734375,False,False
conditional,0.05,0.0,3,2000,0.8523508078307945,0.8522267505566845,0.9918049578963846,0.5004423022492966,210,0.130126953125,0.9918351939570472,0.991789431447354,0.991832206134322,0.1394843861262527,0.1395626808906696,6.272420883178711,3.115780830383301,2,1366.5517578125,False,False
conditional,0.05,0.0,4,2000,0.9311326701467304,0.935378590344644,0.9895552674344884,0.4913154961064858,210,0.144775390625,0.9895517263534596,0.9893600585900112,0.9895476409095632,0.0584190562067292,0.0539814682453669,6.342526435852051,3.148928642272949,2,1366.745849609375,False,False
conditional,0.05,0.0,5,2000,0.9435693091942704,0.9474743346185804,0.9902755861485606,0.4932190072339947,214,0.142822265625,0.9902787631218996,0.9901346917836692,0.9902772465511246,0.0467094539276291,0.0426603571650889,6.3107757568359375,3.1467647552490234,2,1367.9732666015625,False,False
conditional,0.05,0.0,6,2000,0.9894656235398012,0.993813594953395,0.9904025451333788,0.8517049781003388,204,0.142333984375,0.9904155427962472,0.9897705921926444,0.9904137261411472,0.0009499192564459,-0.0040430027607506,6.153329849243164,3.008127450942993,2,1362.4530029296875,False,False
conditional,0.05,0.0,7,2000,0.8452098104951092,0.8450558832639679,0.9910115201532156,,187,0.134521484375,0.9909827848262112,0.9906322456580576,0.9909864540727524,0.1457729743311019,0.1455763623940897,6.282857418060303,3.1330957412719727,2,1367.58544921875,False,False
conditional,0.05,0.0,8,2000,0.9893167715009914,0.9944755991188962,0.9917399028658664,,179,0.129638671875,0.9917498650890046,0.9913849840962424,0.9917531486080524,0.0024330935880132,-0.0030906150226538,6.315969467163086,3.128503561019897,2,1368.611328125,False,False
conditional,0.05,0.0,9,2000,0.9408702196373911,0.9450510390127564,0.9922373928322276,,185,0.127197265625,0.9922803194320862,0.9919773282443284,0.9922579133508622,0.0514100997946949,0.046926289231572,6.2714924812316895,3.1256449222564697,2,1365.5423583984375,False,False
conditional,0.05,0.0,10,2000,0.9714606067495142,0.9770065385016312,0.9916583276277916,0.6254284581338531,211,0.128173828125,0.9916298358679624,0.9915176433794072,0.9916296028641272,0.0201692291184483,0.0145111048777759,6.312931060791016,3.115217685699463,2,1364.4482421875,False,False
conditional,0.05,0.0,11,2000,0.9151491395847936,0.9174056811014168,0.99162659724751,,190,0.134521484375,0.9916371087922484,0.9915532046382978,0.9916366133871336,0.0764879692074549,0.0741475235368809,6.335010528564453,3.161269187927246,2,1362.6590576171875,False,False
conditional,0.05,0.0,12,2000,0.8913168041251558,0.8925110801277668,0.9902679567787672,0.6191867677372564,211,0.139404296875,0.9902575871326652,0.9901111800277912,0.9902599704854697,0.0989407830075093,0.0976000999000245,6.269481182098389,3.1079087257385254,2,1366.302490234375,False,False
conditional,0.05,0.0,13,2000,0.951653933074322,0.954502265375563,0.9848059047421748,,171,0.176025390625,0.984798350665264,0.9842760660690126,0.9847970922392448,0.0331444175909418,0.0297738006934495,6.266781806945801,3.125560998916626,2,1363.9549560546875,False,False
conditional,0.05,0.0,14,2000,0.9584178768434706,0.962257817814451,0.9911616777667572,,190,0.134033203125,0.9911359812199604,0.9909021459755328,0.9911333498097834,0.0327181043764897,0.0286443281610819,6.33221435546875,3.1487045288085938,2,1362.995849609375,False,False
conditional,0.05,0.0,15,2000,0.935171551127187,0.9396056424014072,0.9920223505388774,,200,0.126708984375,0.992035283164803,0.9918211617052868,0.992043753679826,0.056863732037616,0.0522155193038796,6.365176200866699,3.173332929611206,2,1368.7996826171875,False,False
conditional,0.05,0.0,16,2000,0.9882605459744946,0.9931732125432994,0.9910209740708946,,189,0.134033203125,0.9910486403978072,0.9909004359751056,0.9910500543243672,0.0027880944233126,-0.0022727765681939,6.332005500793457,3.136510372161865,2,1368.318115234375,False,False
conditional,0.05,0.0,17,2000,0.9563842698882996,0.9620506287626536,0.9916916486172213,0.5882667453604974,203,0.132568359375,0.9916856508939762,0.9914700911175188,0.9916718958607508,0.0353013810056765,0.0294194623548652,6.261221885681152,3.085737943649292,2,1361.688720703125,False,False
conditional,0.05,0.0,18,2000,0.8741499515844952,0.8742451503112845,0.9937518467106724,0.5214541347534171,217,0.114013671875,0.9937536034159228,0.9935894003973468,0.9937400176463534,0.1196036518314275,0.1193442500860622,6.344203948974609,3.169748067855835,2,1362.8133544921875,False,False
conditional,0.05,0.0,19,2000,0.955753461270805,0.959739717684926,0.9902817465897892,0.5683385999818606,208,0.141357421875,0.9902816353888256,0.9901138237784524,0.9902727968872388,0.0345281741180206,0.0303741060935264,6.302643299102783,3.147264003753662,2,1363.6512451171875,False,False
