rho,adv_lambda,seed,overlap,bio_recovery,bio_recovery_shared,batch_removed,source_leakage,ilisi,off_manifold_latent
0.6,0.0,0,0.6,0.9984657168388367,0.9950595498085022,0.6400000000000001,0.6799999999999999,0.618049461514314,1.204089005909471
0.6,1.0,0,0.6,0.9984518885612488,0.9951296448707581,0.6642857142857141,0.6678571428571429,0.6192679445609701,1.2002092266788646
0.6,8.0,0,0.6,0.9984052181243896,0.9949989318847656,0.6028571428571428,0.6985714285714286,0.6236111525564285,1.2202363964297211
0.0,0.0,0,0.0,0.9985041618347168,,0.027142857142857135,0.9864285714285714,0.03144511715653442,19.71121988874023
0.0,1.0,0,0.0,0.9985096454620361,,0.03571428571428559,0.9821428571428572,0.034374279984302536,19.03658821064676
0.0,8.0,0,0.0,0.9984074234962463,,0.04857142857142849,0.9757142857142858,0.042274431901460074,17.252674913192664
