arm,rho,seed,learned_mcc,oracle_mcc,gap_mcc,learned_cca,domain_balacc,batch_removed,joint
faithful,1.0,0,0.7523727894863497,0.9943596309645681,0.24198684147821847,0.9943333561188834,0.4935,1.0,0.7523727894863497
faithful,1.0,1,0.9557296900406747,0.9916847096413941,0.03595501960071945,0.9916652642020269,0.503,0.994,0.9557296900406747
faithful,1.0,2,0.9914217634906253,0.9917179376165861,0.00029617412596083526,0.9917523266687549,0.48975,1.0,0.9914217634906253
faithful,1.0,3,0.9291122824231535,0.9937070014301521,0.06459471900699865,0.9937126234314198,0.5075000000000001,0.9849999999999999,0.9291122824231535
faithful,1.0,4,0.857118739709708,0.9932911821795634,0.13617244246985538,0.9933136993509057,0.49849999999999994,1.0,0.857118739709708
faithful,0.8,0,0.8326058786218812,0.994204812038055,0.16159893341617382,0.994193214528187,0.58725,0.8254999999999999,0.8254999999999999
faithful,0.8,1,0.9778078558494334,0.9915030593350483,0.013695203485614926,0.9914995028022218,0.5935,0.813,0.813
faithful,0.8,2,0.9367130227603442,0.9937736424183423,0.057060619657998135,0.9937785067876772,0.5925,0.815,0.815
faithful,0.8,3,0.8716889576891989,0.9932987488009167,0.12160979111171788,0.9933049715867337,0.607,0.786,0.786
faithful,0.8,4,0.7946706840075006,0.9929692621013828,0.19829857809388218,0.9929419326878033,0.605,0.79,0.79
faithful,0.6,0,0.7135414539156006,0.9940932081459202,0.2805517542303195,0.9941156668200377,0.6945,0.611,0.611
faithful,0.6,1,0.937284296336239,0.991834189386677,0.054549893050438,0.9918159616121648,0.69075,0.6185,0.6185
faithful,0.6,2,0.7832950839040809,0.994144017219778,0.2108489333156971,0.9941671547190557,0.70025,0.5994999999999999,0.5994999999999999
faithful,0.6,3,0.8922668988472425,0.9928209079957018,0.10055400914845924,0.9927967200862178,0.6930000000000001,0.6139999999999999,0.6139999999999999
faithful,0.6,4,0.7006092025913624,0.9941354131362664,0.293526210544904,0.9940988141082056,0.69225,0.6154999999999999,0.6154999999999999
faithful,0.4,0,0.76846716437581,0.9947156840980174,0.2262485197222074,0.9946933921799157,0.80125,0.39749999999999996,0.39749999999999996
faithful,0.4,1,0.9789611045131423,0.9918848517288796,0.012923747215737302,0.9918497938684765,0.7925,0.41500000000000004,0.41500000000000004
faithful,0.4,2,0.915288137420621,0.9910230450665378,0.07573490764591684,0.9910411572727987,0.78775,0.4245000000000001,0.4245000000000001
faithful,0.4,3,0.8922842857699839,0.9932210327529206,0.10093674698293675,0.9932063899341097,0.7947500000000001,0.41049999999999986,0.41049999999999986
faithful,0.4,4,0.7134598989207451,0.9937632867958603,0.2803033878751152,0.9937617514684333,0.806,0.3879999999999999,0.3879999999999999
faithful,0.2,0,0.7134992170849607,0.9947346862535456,0.2812354691685849,0.9947560541995528,0.8947499999999999,0.21050000000000013,0.21050000000000013
faithful,0.2,1,0.9880175494190844,0.9897772014136533,0.001759651994568956,0.9897888068012461,0.8967499999999999,0.20650000000000013,0.20650000000000013
faithful,0.2,2,0.754461864974026,0.9922198488315344,0.23775798385750835,0.9921992712020864,0.8965000000000001,0.20699999999999985,0.20699999999999985
faithful,0.2,3,0.8681644452137156,0.9941778179202265,0.12601337270651092,0.994185496349123,0.8987499999999999,0.20250000000000012,0.20250000000000012
faithful,0.2,4,0.9317920370763044,0.9895123002008912,0.05772026312458678,0.9895391892783971,0.9005,0.19900000000000007,0.19900000000000007
faithful,0.05,0,0.8501000657517588,0.9936689596477186,0.14356889389595984,0.9936464028752277,0.96875,0.0625,0.0625
faithful,0.05,1,0.9877227839592759,0.9898431838196776,0.0021203998604016894,0.9898058230437423,0.96875,0.0625,0.0625
faithful,0.05,2,0.746003609148681,0.9930119130443631,0.24700830389568207,0.9929986509941777,0.969,0.062000000000000055,0.062000000000000055
faithful,0.05,3,0.8523508078307945,0.9918351939570472,0.1394843861262527,0.9918049578963846,0.963,0.07400000000000007,0.07400000000000007
faithful,0.05,4,0.9311326701467304,0.9895517263534597,0.05841905620672927,0.9895552674344885,0.9672499999999999,0.06550000000000011,0.06550000000000011
