s_level,sigma_min,kappa,seed,cca,mcc,gap,phi_deg
0.02,0.0442057870450212,67.09134173974438,0,0.9850276904173436,0.7465438744308035,0.2384838159865401,40.401955747833874
0.02,0.0442057870450212,67.09134173974438,1,0.9750389796156838,0.7203893474981264,0.2546496321175573,41.81079829376381
0.02,0.0442057870450212,67.09134173974438,2,0.9803323841828032,0.9134032159345892,0.066929168248214,21.08132355997266
0.02,0.0442057870450212,67.09134173974438,3,0.9820966133035868,0.8266506058291454,0.1554460074744414,32.37581868756023
0.02,0.0442057870450212,67.09134173974438,4,0.9856561081232682,0.9197248123001256,0.0659312958231426,20.92179522160475
0.1,0.1784835807805932,16.55518002435947,0,0.9861826737789036,0.8052116135231169,0.1809710602557868,35.01229529283364
0.1,0.1784835807805932,16.55518002435947,1,0.9778777378075116,0.8292651766099557,0.1486125611975559,31.637102943467536
0.1,0.1784835807805932,16.55518002435947,2,0.9799167148528884,0.971986477613607,0.0079302372392814,7.220514478511835
0.1,0.1784835807805932,16.55518002435947,3,0.9825540513314004,0.9410736646939508,0.0414803866374495,16.560437353735725
0.1,0.1784835807805932,16.55518002435947,4,0.9850539442072976,0.9175531205133464,0.0675008236939513,21.17219618536977
0.3,0.601377003773506,4.795719528241674,0,0.9823464222395888,0.7751512746426449,0.2071951475969439,37.55159265250094
0.3,0.601377003773506,4.795719528241674,1,0.967875671048924,0.7805012899739387,0.1873743810749851,35.64673950636565
0.3,0.601377003773506,4.795719528241674,2,0.975743620402763,0.9463685922666482,0.0293750281361148,13.921808825568982
0.3,0.601377003773506,4.795719528241674,3,0.9822308747917324,0.8484156319549692,0.1338152428367633,29.98173440473264
0.3,0.601377003773506,4.795719528241674,4,0.9818077693812102,0.8992857482308849,0.0825220211503252,23.439879250655
0.6,1.140702118459645,2.4834561802951858,0,0.9767060196879096,0.8668220452541886,0.109883974433721,27.11216977781126
0.6,1.140702118459645,2.4834561802951858,1,0.9559730281833037,0.8650389883212212,0.0909340398620824,24.623408398985347
0.6,1.140702118459645,2.4834561802951858,2,0.966322705836237,0.9577141576939324,0.0086085481423046,7.523408321650284
0.6,1.140702118459645,2.4834561802951858,3,0.975255642292646,0.7253315979120367,0.2499240443806092,41.40304217141853
0.6,1.140702118459645,2.4834561802951858,4,0.9794322587156956,0.7712471195850406,0.2081851391306551,37.644562027645456
1.0,1.3677633378407847,2.565809853140707,0,0.973528233236904,0.8967165616978393,0.0768116715390645,22.603263223664676
1.0,1.3677633378407847,2.565809853140707,1,0.9600783465144584,0.7979072476748992,0.1621710988395592,33.088437898261404
1.0,1.3677633378407847,2.565809853140707,2,0.9630246992159444,0.9355885523659976,0.0274361468499468,13.45231937496281
1.0,1.3677633378407847,2.565809853140707,3,0.975488187860679,0.9476888052129876,0.0277993826476915,13.541490407859294
1.0,1.3677633378407847,2.565809853140707,4,0.9775368648533512,0.7242714485867465,0.2532654162666048,41.69169634195292
0.02,0.0442057870450212,67.09134173974438,5,0.987262463575026,0.9511670817541148,0.0360953818209113,15.44111002219736
0.02,0.0442057870450212,67.09134173974438,6,0.9802193785403304,0.7850429411112505,0.1951764374290797,36.40678076464945
0.02,0.0442057870450212,67.09134173974438,7,0.9825602473406394,0.9751231641595316,0.0074370831811079,6.992113581586249
0.02,0.0442057870450212,67.09134173974438,8,0.9758676381924052,0.9605159579140244,0.0153516802783808,10.05246928799074
0.02,0.0442057870450212,67.09134173974438,9,0.9829886463385472,0.8334888409579879,0.1494998053805591,31.73388495287228
0.1,0.1784835807805932,16.55518002435947,5,0.9861278076667988,0.9336606531572677,0.0524671545095313,18.64226895520156
0.1,0.1784835807805932,16.55518002435947,6,0.9775806994880768,0.7498156820047561,0.2277650174833205,39.44498525729063
0.1,0.1784835807805932,16.55518002435947,7,0.9810712195790232,0.9688565248022762,0.0122146947767468,8.96441590933402
0.1,0.1784835807805932,16.55518002435947,8,0.9759144088834028,0.9546032567172617,0.0213111521661413,11.849919575012564
0.1,0.1784835807805932,16.55518002435947,9,0.9868767518070594,0.874451116302964,0.1124256355040953,27.42999240158057
0.3,0.601377003773506,4.795719528241674,5,0.9844021376791016,0.9557216047108388,0.0286805329682625,13.755447493885208
0.3,0.601377003773506,4.795719528241674,6,0.9743153240518312,0.8239276314224475,0.1503876926293835,31.830473193514315
0.3,0.601377003773506,4.795719528241674,7,0.981436195468311,0.9800818080216006,0.0013543874467103,2.9823466322525536
0.3,0.601377003773506,4.795719528241674,8,0.978225170077924,0.9746644943554444,0.0035606757224796,4.836517809589022
0.3,0.601377003773506,4.795719528241674,9,0.9821806788360236,0.9247111779201782,0.0574695009158454,19.51904212198581
0.6,1.140702118459645,2.4834561802951858,5,0.9772152555056076,0.8876242430662775,0.0895910124393302,24.43806810285098
0.6,1.140702118459645,2.4834561802951858,6,0.96201466870784,0.7322172728197345,0.2297973958881054,39.62791398834847
0.6,1.140702118459645,2.4834561802951858,7,0.97475751969149,0.9726010090196432,0.0021565106718468,3.7634964756461113
0.6,1.140702118459645,2.4834561802951858,8,0.9694198991350196,0.966353527124334,0.0030663720106856,4.48808516524138
0.6,1.140702118459645,2.4834561802951858,9,0.9797347078060086,0.9678326715534348,0.0119020362525736,8.848709888725041
1.0,1.3677633378407847,2.565809853140707,5,0.9756180015626222,0.9488687610681508,0.0267492404944713,13.282084169339194
1.0,1.3677633378407847,2.565809853140707,6,0.9627506495239402,0.7675426325713417,0.1952080169525984,36.40982923144944
1.0,1.3677633378407847,2.565809853140707,7,0.968487141331176,0.9417533267353592,0.0267338145958166,13.278236586165844
