arm,rho,seed,cca,mcc,gap,batch_removed
adv_100,0.05,0,0.8531547576078393,0.6335176704047714,0.2197483191656399,0.1006666666666666
adv_100,0.05,1,0.9604586173327896,0.9053637823784216,0.054898418213016,0.0673333333333332
adv_100,0.05,2,0.9849733482413436,0.9509091635394048,0.0339598539946048,0.0673333333333332
adv_100,0.05,3,0.9851234385990062,0.9811254226400496,0.0038417976426832,0.0613333333333332
adv_100,0.05,4,0.9790545296686473,0.948982373513531,0.0302146156807441,0.0619999999999998
adv_100,0.05,5,0.9738554047557286,0.6484441843620783,0.3253050996308643,0.094
adv_100,0.05,6,0.9892753113427236,0.9877989581564622,0.0014942433020849,0.0666666666666666
adv_100,0.05,7,0.9867278407232398,0.97521261086079,0.0114781233129899,0.0633333333333334
adv_100,0.05,8,0.9785574361277424,0.7285157209204369,0.2501213485081801,0.06
adv_100,0.05,9,0.9725290564417254,0.9671680954433796,0.0055320920722803,0.0459999999999998
adv_100,0.05,10,0.9682838282530712,0.8762454815432266,0.092094136160618,0.0806666666666666
adv_100,0.05,11,0.9885802557115324,0.97852702272066,0.0099525437868275,0.0506666666666666
adv_100,0.05,12,0.8062993857006535,0.804268747536056,0.0025116041521401,0.0986666666666666
adv_100,0.05,13,0.9799328023770342,0.9097386768226164,0.0701796841974515,0.0739999999999998
adv_100,0.05,14,0.6224596712037631,0.5485329416231266,0.0747309694642606,0.1053333333333332
adv_100,0.05,15,0.7119917270801477,0.5499219476541413,0.1624322739953787,0.1139999999999998
adv_100,0.05,16,0.5432873139186566,0.5605300689829854,-0.0166286418220861,0.1693333333333333
adv_100,0.05,17,0.932874376173334,0.8809822302683261,0.0522237139526462,0.0766666666666666
adv_100,0.05,18,0.841542360432934,0.819794741335583,0.0216715332537618,0.0939999999999998
adv_100,0.05,19,0.6308822348909352,0.607254887296413,0.0243805401857204,0.1160000000000001
adv_100,0.05,20,0.8001723047664784,0.5584252430621353,0.2420837911842446,0.0873333333333332
adv_100,0.05,21,0.9093119291629412,0.6961377739702896,0.2132744098770311,0.0699999999999998
adv_100,0.05,22,0.9595260668942444,0.9267991051836136,0.0327559334940634,0.0753333333333332
adv_100,0.05,23,0.9122292287221724,0.7203869917792797,0.1918059942469466,0.0653333333333332
adv_100,0.05,24,0.987586301921252,0.9754135145574132,0.0121659381112858,0.056
adv_100,0.2,0,0.837655858021723,0.8234545298142223,0.0141248165511164,0.236
adv_100,0.2,1,0.8041962449492834,0.7640995751403976,0.0405058146304575,0.2173333333333333
adv_100,0.2,2,0.972295850512476,0.9562243835922056,0.0160297160786164,0.2299999999999999
adv_100,0.2,3,0.9814378399659652,0.8737812252459682,0.1075126708829017,0.2166666666666667
adv_100,0.2,4,0.9833939474060108,0.9796733049541452,0.0037532991767861,0.2279999999999999
adv_100,0.2,5,0.9494846811571336,0.6848569340802786,0.2646264398034161,0.1893333333333333
adv_100,0.2,6,0.9856624909506222,0.9775276031322706,0.0079998210553402,0.2193333333333331
adv_100,0.2,7,0.9457167813903252,0.9379647799064366,0.0074860839295451,0.2126666666666667
