2026-06-17 14:01:41,222 | INFO |   cortical cell of adrenal gland vs intestinal epithelial cell -> inconclusive_underpowered (N*=114, cross=0.5, floor_q=0.1108)
2026-06-17 14:01:41,222 | INFO |   cortical cell of adrenal gland vs macrophage -> inconclusive_underpowered (N*=17, cross=1.143, floor_q=0.2748)
2026-06-17 14:01:41,222 | INFO |   cortical cell of adrenal gland vs megakaryocyte -> inconclusive_underpowered (N*=5, cross=0.7624, floor_q=0.4486)
2026-06-17 14:01:41,222 | INFO |   cortical cell of adrenal gland vs myeloid cell -> inconclusive_underpowered (N*=6, cross=0.8525, floor_q=0.4612)
2026-06-17 14:01:41,222 | INFO |   cortical cell of adrenal gland vs smooth muscle cell -> inconclusive_underpowered (N*=25, cross=0.7622, floor_q=0.2114)
2026-06-17 14:01:41,222 | INFO |   cortical cell of adrenal gland vs stromal cell -> inconclusive_underpowered (N*=459, cross=0.5664, floor_q=0.05906)
2026-06-17 14:01:41,222 | INFO |   endothelial cell of vascular tree vs epithelial cell of lower respiratory tract -> inconclusive_underpowered (N*=473, cross=0.3942, floor_q=0.04871)
2026-06-17 14:01:41,222 | INFO |   endothelial cell of vascular tree vs erythroblast -> inconclusive_underpowered (N*=473, cross=0.6402, floor_q=0.04695)
2026-06-17 14:01:41,222 | INFO |   endothelial cell of vascular tree vs erythrocyte -> inconclusive_underpowered (N*=2, cross=0.8464, floor_q=0.711)
2026-06-17 14:01:41,222 | INFO |   endothelial cell of vascular tree vs fibroblast -> inconclusive_underpowered (N*=473, cross=0.6474, floor_q=0.05405)
2026-06-17 14:01:41,222 | INFO |   endothelial cell of vascular tree vs hepatic stellate cell -> inconclusive_underpowered (N*=1, cross=0.7367, floor_q=1.014)
2026-06-17 14:01:41,222 | INFO |   endothelial cell of vascular tree vs hepatoblast -> inconclusive_underpowered (N*=8, cross=0.5062, floor_q=0.408)
2026-06-17 14:01:41,222 | INFO |   endothelial cell of vascular tree vs innate lymphoid cell -> inconclusive_underpowered (N*=12, cross=0.5257, floor_q=0.338)
2026-06-17 14:01:41,222 | INFO |   endothelial cell of vascular tree vs intestinal epithelial cell -> inconclusive_underpowered (N*=114, cross=0.4816, floor_q=0.119)
